IDENTIFIER,IDENTIFFIER_TYPE,PUBLISHER,TITLE,PRIMARY_CREATORS,UNIVERSITY,SEMESTER,DEPARTMENT,COURSE CODE,NO. OF STUDENTS,PRESCRIBED/RECOMMENDED
978-0495557425,ISBN,Cengage Learning,Calculus: Concepts and Contexts,James Stewart,UCT,1st & 2nd semester,Academic Support Programme for Engineering in Cape Town (ASPECT),END1020F/S,70,Prescribed
978-0495557425,ISBN,Cengage Learning,Calculus: Concepts and Contexts,James Stewart,UCT,1st & 2nd semester,Academic Support Programme for Engineering in Cape Town (ASPECT),END1021F/S,70,Prescribed
978-0-409-10813-2,ISBN,Lexis Nexis,A Guide through IFRS,SAICA / Rashid Small,UCT,1st & 2nd semester,Accounting,ACC3009W,500,Prescribed
978-0-409-10813-2,ISBN,Lexis Nexis,A Guide through IFRS,SAICA / Rashid Small,UCT,1st & 2nd semester,Accounting,ACC3500W,40,Prescribed
,ISBN,Lexis Nexis,A Guide through International Financial Reporting Standards (Latest Edition),IASCF,UCT,1st & 2nd semester,Accounting,ACC4023W,350,Prescribed
,ISBN,Lexis Nexis,A Guide through International Financial Reporting Standards (Latest Edition),IASCF,UCT,1st & 2nd semester,Accounting,ACC4025H,350,Prescribed
978-0-199-04648-5,ISBN,Oxford,"Accounting, An Introduction (4th Edition)","Kew, J; Watson, A.",UCT,2nd semester,Accounting,ACC2111S,300,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,1st semester,Accounting,ACC1006F,1050,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,2nd semester,Accounting,ACC1006S,85,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,1st semester,Accounting,ACC1106F,300,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,2nd semester,Accounting,ACC2011S,860,Prescribed
